ID,Name,Strength,Generic Name,Manufactured by,Unit Price
7274,Fenofex,30 mg/5 ml,Fexofenadine Hydrochloride,Incepta Pharmaceuticals Ltd.,50 ml bottle : ৳ 48.00
7275,Fenogard,200 mg,Fenofibrate,Al-Madina Pharmaceuticals Ltd.,Unit Price : ৳ 7.00
7276,Fenolid,200 mg,Fenofibrate,General Pharmaceuticals Ltd.,Unit Price : ৳ 7.05
7277,Fenorat,200 mg,Fenofibrate,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 7.00
7278,Fenox,120 mg,Fexofenadine Hydrochloride,Social Marketing Company,Unit Price : ৳ 7.00
7279,Fentanyl,100 mcg/2 ml,Fentanyl Citrate,Renata Limited,2 ml ampoule : ৳ 40.15
7280,Fentanyl Hexal,25 mcg/hour,Fentanyl Citrate,"Hexal AG, Germany",Unit Price : ৳ 370.00
7281,Fenticona,2% w/w,Fenticonazole Nitrate [Vaginal Cream],NIPRO JMI Pharma Ltd.,30 gm tube : ৳ 195.00
7282,Fentigal,2% w/w,Fenticonazole Nitrate [Vaginal Cream],Sharif Pharmaceuticals Ltd.,30 gm tube : ৳ 195.59
7283,Fentigal VT,600 mg,Fenticonazole Nitrate [Vaginal Tablet],Sharif Pharmaceuticals Ltd.,Unit Price : ৳ 120.00
7284,Fentikol,2% w/w,Fenticonazole Nitrate [Vaginal Cream],Medicon Pharmaceuticals Ltd.,30 gm tube : ৳ 187.00
7285,Fentizol VT,600 mg,Fenticonazole Nitrate [Vaginal Tablet],Square Pharmaceuticals Ltd.,Unit Price : ৳ 120.00
7286,Fentyl,100 mcg/2 ml,Fentanyl Citrate,Popular Pharmaceuticals Ltd.,2 ml ampoule : ৳ 40.15
7287,Feocron,50 mg+0.50 mg+61.80 mg,Carbonyl Iron + Folic Acid + Zinc Sulfate,Novo Healthcare and Pharma Ltd.,Unit Price : ৳ 3.01
7288,Feocron Plus,,Carbonyl Iron + Folic Acid + Zinc Sulfate + Vitamin B Complex + Vitamin C,Novo Healthcare and Pharma Ltd.,Unit Price : ৳ 3.51
7289,Feofer,100 mg/5 ml,Iron Sucrose Injection [Elemental Iron],Eskayef Pharmaceuticals Ltd.,5 ml ampoule : ৳ 350.00
7290,Feofer DS,200 mg/10 ml,Iron Sucrose Injection [Elemental Iron],Eskayef Pharmaceuticals Ltd.,10 ml ampoule : ৳ 600.00
7291,Feofol,150 mg+0.5 mg,Ferrous Sulfate + Folic Acid,Eskayef Pharmaceuticals Ltd.,Unit Price : ৳ 2.41
7292,Feofol-Cl,50 mg+0.5 mg,Carbonyl Iron + Folic Acid,Eskayef Pharmaceuticals Ltd.,Unit Price : ৳ 2.50
7293,Feol TR,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,Medicon Pharmaceuticals Ltd.,Unit Price : ৳ 2.84
7294,FeonA FZ,47 mg+0.5 mg+22.5 mg,Iron Polymaltose Complex + Folic Acid + Zinc Sulfate,Delta Pharma Ltd.,Unit Price : ৳ 5.00
7295,FeonA Z,,Iron + Folic Acid + Vitamin B Complex + Vitamine C + Zinc Sulfate,Delta Pharma Ltd.,Unit Price : ৳ 3.50
7296,Feosil-Z,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,Silva Pharmaceuticals Ltd.,Unit Price : ৳ 2.91
7297,Feozin,5 mg+20 mg,Folic Acid + Zinc Sulfate Monohydrate,Eskayef Pharmaceuticals Ltd.,Unit Price : ৳ 1.50
7298,Fer,50 mg+0.5 mg,Carbonyl Iron + Folic Acid,Organic Health Care,Unit Price : ৳ 2.51
7299,Fer-V,,Carbonyl Iron + Folic Acid + Zinc Sulfate + Vitamin B Complex + Vitamin C,Organic Health Care,Unit Price : ৳ 3.50
7300,Fer-Z,50 mg+0.50 mg+61.80 mg,Carbonyl Iron + Folic Acid + Zinc Sulfate,Organic Health Care,Unit Price : ৳ 3.00
7301,Ferasirrox,250 mg,Deferasirox,D16 Pharma & Biotec,Unit Price : ৳ 85.00
7302,Feraz,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,Amico Laboratories Ltd.,Unit Price : ৳ 2.50
7303,Ferigun,200 mg+500 mcg,Ferrous Fumarate + Folic acid,Medimet Pharmaceuticals Ltd.,Unit Price : ৳ 0.57
7304,Ferigun S,200 mg/5 ml,Ferrous Sulfate,Medimet Pharmaceuticals Ltd.,200 ml bottle : ৳ 26.50
7305,Ferimax,50 mg/2.5 ml,Iron Sucrose Injection [Elemental Iron],Incepta Pharmaceuticals Ltd.,2.5 ml ampoule : ৳ 300.00
7306,Ferimax,100 mg/5 ml,Iron Sucrose Injection [Elemental Iron],Incepta Pharmaceuticals Ltd.,5 ml ampoule : ৳ 350.00
7307,Ferimax,200 mg/10 ml,Iron Sucrose Injection [Elemental Iron],Incepta Pharmaceuticals Ltd.,10 ml ampoule : ৳ 600.00
7308,Ferina,200 mg+200 mcg,Ferrous Fumarate + Folic acid,Guardian Healthcare Ltd.,Unit Price : ৳ 1.45
7309,Ferinject,500 mg/10 ml,Ferric Carboxymaltose,UniMed UniHealth,"10 ml vial : ৳ 3,114.80"
7310,Ferinject,100 mg/2 ml,Ferric Carboxymaltose,UniMed UniHealth,2 ml vial : ৳ 996.74
7311,Ferintus,100 mg/2 ml,Ferric Carboxymaltose,Beximco Pharmaceuticals Ltd.,2 ml vial : ৳ 400.00
7312,Ferintus,500 mg/10 ml,Ferric Carboxymaltose,Beximco Pharmaceuticals Ltd.,10 ml vial : ৳ 700.00
7313,Feripon,500 mg,Deferiprone,Drug International Ltd.,Unit Price : ৳ 18.00
7314,Ferisen,500 mg/10 ml,Ferric Carboxymaltose,Healthcare Pharmaceuticals Ltd.,10 ml vial : ৳ 710.00
7315,Ferisen,500 mg/10 ml,Ferric Carboxymaltose,Healthcare Pharmaceuticals Ltd.,10 ml vial : ৳ 710.00
7316,Ferisen,1 gm/20 ml,Ferric Carboxymaltose,Healthcare Pharmaceuticals Ltd.,"20 ml vial : ৳ 1,300.00"
7317,Feristar,100 mg/5 ml,Iron Sucrose Injection [Elemental Iron],Renata Limited,5 ml ampoule : ৳ 325.00
7318,Ferix-V,50 mg+0.50 mg+61.80 mg,Carbonyl Iron + Folic Acid + Zinc Sulfate,Renata Limited,Unit Price : ৳ 4.00
7319,Feriz TR,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,Medimet Pharmaceuticals Ltd.,Unit Price : ৳ 2.90
7320,Fermid,50 mg,Clomiphene Citrate,Gaco Pharmaceuticals Ltd.,Unit Price : ৳ 10.03
7321,Fero Plus,200 mg+400 mcg,Ferrous Fumarate + Folic acid,Amico Laboratories Ltd.,Unit Price : ৳ 0.38
7322,Fero TR,200 mg+200 mcg,Ferrous Fumarate + Folic acid,Amico Laboratories Ltd.,Unit Price : ৳ 2.37
7323,Feroblood,200 mg/5 ml,Ferrous Sulfate,Aztec Pharmaceuticals Ltd.,200 ml bottle : ৳ 24.00
7324,Ferocit,200 mg+200 mcg,Ferrous Fumarate + Folic acid,ACME Laboratories Ltd.,Unit Price : ৳ 0.18
7325,Ferocit TR,150 mg+0.5 mg,Ferrous Sulfate + Folic Acid,ACME Laboratories Ltd.,Unit Price : ৳ 2.40
7326,Ferocit-Z,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,ACME Laboratories Ltd.,Unit Price : ৳ 2.94
7327,Ferocom,,Iron + Folic Acid + Vitamin B Complex + Vitamine C + Zinc Sulfate,S.N. Pharmaceutical Ltd.,Unit Price : ৳ 3.00
7328,Ferodin,500 mg,Nabayas Louha Herbal Haematinic,ACME Laboratories Ltd.,Unit Price : ৳ 2.00
7329,Ferofe Z TR,200 mg+200 mcg,Ferrous Fumarate + Folic acid,Aexim Pharmaceuticals Ltd.,Unit Price : ৳ 2.90
7330,Ferofol,200 mg+350 mcg,Ferrous Fumarate + Folic acid,Hudson Pharmaceuticals Ltd.,Unit Price : ৳ 0.25
7331,Ferofol-Z,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,Central Pharmaceuticals Ltd.,Unit Price : ৳ 2.90
7332,Ferofolin TR,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,Belsen Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
7333,Ferogurd,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,S.N. Pharmaceutical Ltd.,Unit Price : ৳ 2.50
7334,Ferol-TR,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,Opsonin Pharma Ltd.,Unit Price : ৳ 2.71
7335,Ferolet BC,,Iron + Folic acid + Vitamin B complex + Vitamin C,Reliance Pharmaceuticals Ltd.,Unit Price : ৳ 3.40
7336,Ferolet TR Plus,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,Reliance Pharmaceuticals Ltd.,Unit Price : ৳ 2.91
7337,Feromat,200 mg/5 ml,Ferrous Sulfate,Pharmadesh Laboratories Ltd.,200 ml bottle : ৳ 25.00
7338,Feroplus,100 mg/5 ml,Ferrous Fumarate,Pacific Pharmaceuticals Ltd.,200 ml bottle : ৳ 26.00
7339,Feroplus TR,200 mg+200 mcg,Ferrous Fumarate + Folic acid,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 2.37
7340,Feroplus Z SR,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 2.90
7341,Feropreg TR,50 mg+0.50 mg+61.80 mg,Carbonyl Iron + Folic Acid + Zinc Sulfate,Amico Laboratories Ltd.,Unit Price : ৳ 3.00
7342,Feroson,100 mg/5 ml,Ferrous Fumarate,Hudson Pharmaceuticals Ltd.,200 ml bottle : ৳ 27.00
7343,Feroson,100 mg/5 ml,Ferrous Fumarate + Folic acid,Hudson Pharmaceuticals Ltd.,200 ml bottle : ৳ 27.00
7344,Feroson TR,150 mg+0.5 mg,Ferrous Sulfate + Folic Acid,Hudson Pharmaceuticals Ltd.,Unit Price : ৳ 2.10
7345,Feroson-TR,200 mg+500 mcg,Ferrous Fumarate + Folic acid,Hudson Pharmaceuticals Ltd.,Unit Price : ৳ 2.10
7346,Ferospan,150 mg+0.5 mg,Ferrous Sulfate + Folic Acid,Drug International Ltd.,Unit Price : ৳ 2.41
7347,Ferotab,188 mg+0.50 mg+61.8 mg,Iron Hydroxide Polymaltose + Folic acid + Zinc Sulfate Monohydrate,Veritas Pharmaceuticals Ltd.,Unit Price : ৳ 3.50
7348,Feroven,100 mg/5 ml,Iron Sucrose Injection [Elemental Iron],Orion Pharma Ltd.,5 ml ampoule : ৳ 327.26
7349,Ferovit TR,,Iron + Folic acid + Vitamin B complex + Vitamin C,Hudson Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
7350,Ferovit TR,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,Hudson Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
7351,Ferox,500 mg/10 ml,Ferric Carboxymaltose,ACI Limited,10 ml vial : ৳ 700.00
7352,Ferox,100 mg/2 ml,Ferric Carboxymaltose,ACI Limited,2 ml vial : ৳ 410.00
7353,Feroz,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,Aztec Pharmaceuticals Ltd.,Unit Price : ৳ 2.90
7354,Ferozi,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,Drug International Ltd.,Unit Price : ৳ 3.00
7355,Ferozi-CI,50 mg+0.50 mg+61.80 mg,Carbonyl Iron + Folic Acid + Zinc Sulfate,Drug International Ltd.,Unit Price : ৳ 4.00
7356,Ferritin-TR,150 mg+0.5 mg,Ferrous Sulfate + Folic Acid,Ambee Pharmaceuticals Ltd.,Unit Price : ৳ 2.23
7357,Ferro-Z TR,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,Edruc Ltd.,Unit Price : ৳ 2.90
7358,Ferroglobin,200 mg/5 ml,Ferrous Sulfate,ACME Laboratories Ltd.,100 ml bottle : ৳ 23.00
7359,Ferrolin TR,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,Orion Pharma Ltd.,Unit Price : ৳ 2.92
7360,Ferron-TR,200 mg+200 mcg,Ferrous Fumarate + Folic acid,Kumudini Pharma Ltd.,Unit Price : ৳ 2.40
7361,Ferrosobin G,300 mg/5 ml,Ferrous Gluconate,Seema Pharmaceuticals Ltd.,200 ml bottle : ৳ 32.00
7362,Ferrum,200 mg/5 ml,Ferrous Sulfate,Modern Pharmaceuticals Ltd.,200 ml bottle : ৳ 24.89
7363,Fertil,50 mg,Clomiphene Citrate,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 10.00
7364,Fertimax,,Antioxidants and Micronutrients,Fabrique en France,"30 white+30 green : ৳ 4,500.00"
7365,Fesler,180 mg,Fexofenadine Hydrochloride,Monicopharma Ltd.,Unit Price : ৳ 9.00
7366,Fesler,30 mg/5 ml,Fexofenadine Hydrochloride,Monicopharma Ltd.,50 ml bottle : ৳ 48.00
7367,Fesler,120 mg,Fexofenadine Hydrochloride,Monicopharma Ltd.,Unit Price : ৳ 7.00
7368,Festam,2.5% w/w,Ketoprofen (Topical),Pacific Pharmaceuticals Ltd.,30 gm tube : ৳ 120.00
7369,Feva,125 mg,Paracetamol,Ad-din Pharmaceuticals Ltd.,Unit Price : ৳ 4.00
7370,Feva,250 mg,Paracetamol,Ad-din Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
7371,Feva,500 mg,Paracetamol,Ad-din Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
7372,Feva,80 mg/ml,Paracetamol,Ad-din Pharmaceuticals Ltd.,15 ml bottle : ৳ 12.27
7373,Feva,120 mg/5 ml,Paracetamol,Ad-din Pharmaceuticals Ltd.,60 ml bottle : ৳ 18.00
7374,Feva,500 mg,Paracetamol,Ad-din Pharmaceuticals Ltd.,Unit Price : ৳ 0.75
7375,Feva Plus,500 mg+65 mg,Paracetamol + Caffeine,Ad-din Pharmaceuticals Ltd.,Unit Price : ৳ 1.50
7376,Fevac,120 mg/5 ml,Paracetamol,Orion Pharma Ltd.,60 ml bottle : ৳ 20.06
7377,Fevac,500 mg,Paracetamol,Orion Pharma Ltd.,Unit Price : ৳ 0.80
7378,Fevac Extend,665 mg,Paracetamol,Orion Pharma Ltd.,Unit Price : ৳ 1.50
7379,Fevedol,325 mg+37.5 mg,Paracetamol + Tramadol Hydrochloride,Drug International Ltd.,Unit Price : ৳ 5.00
7380,Feverin,100 mg,Nimesulide,General Pharmaceuticals Ltd.,Unit Price : ৳ 1.00
7381,Feviz Plus,,Iron Polymaltose Complex + Folic Acid + Zinc + Vitamin B-Complex,Popular Pharmaceuticals Ltd.,Unit Price : ৳ 6.02
7382,Fevnil,,Khakshi,Hamdard Bangladesh,100 ml bottle : ৳ 70.00
7383,Fevrex Plus,500 mg+65 mg,Paracetamol + Caffeine,Novus Pharmaceuticals Ltd.,Unit Price : ৳ 2.00
7384,Fexan,200 mg,Rifaximin,Drug International Ltd.,Unit Price : ৳ 20.10
7385,Fexan,550 mg,Rifaximin,Drug International Ltd.,Unit Price : ৳ 40.15
7386,Fexirin,120 mg,Fexofenadine Hydrochloride,Virgo Pharmaceuticals Ltd.,Unit Price : ৳ 6.00
7387,Fexirin,180 mg,Fexofenadine Hydrochloride,Virgo Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
7388,Fexo,30 mg/5 ml,Fexofenadine Hydrochloride,Square Pharmaceuticals Ltd.,50 ml bottle : ৳ 48.33
7389,Fexo,60 mg,Fexofenadine Hydrochloride,Square Pharmaceuticals Ltd.,Unit Price : ৳ 3.52
7390,Fexo,180 mg,Fexofenadine Hydrochloride,Square Pharmaceuticals Ltd.,Unit Price : ৳ 10.00
7391,Fexo,120 mg,Fexofenadine Hydrochloride,Square Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
7392,Fexocon,180 mg,Fexofenadine Hydrochloride,Concord Pharmaceuticals Ltd.,Unit Price : ৳ 8.02
7393,Fexocon,30 mg/5 ml,Fexofenadine Hydrochloride,Concord Pharmaceuticals Ltd.,50 ml bottle : ৳ 48.14
7394,Fexocon,120 mg,Fexofenadine Hydrochloride,Concord Pharmaceuticals Ltd.,Unit Price : ৳ 6.52
7395,Fexodin,120 mg,Fexofenadine Hydrochloride,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
7396,Fexodin,30 mg/5 ml,Fexofenadine Hydrochloride,Pacific Pharmaceuticals Ltd.,50 ml bottle : ৳ 50.00
7397,Fexofast,120 mg,Fexofenadine Hydrochloride,Drug International Ltd.,Unit Price : ৳ 8.00
7398,Fexofast,30 mg/5 ml,Fexofenadine Hydrochloride,Drug International Ltd.,50 ml bottle : ৳ 50.00
7399,Fexofast,60 mg,Fexofenadine Hydrochloride,Drug International Ltd.,Unit Price : ৳ 3.50
7400,Fexofast,180 mg,Fexofenadine Hydrochloride,Drug International Ltd.,Unit Price : ৳ 9.00
7401,Fexofeda,180 mg,Fexofenadine Hydrochloride,Euro Pharma Ltd.,Unit Price : ৳ 10.00
7402,Fexofeda,120 mg,Fexofenadine Hydrochloride,Euro Pharma Ltd.,Unit Price : ৳ 8.00
7403,Fexofen,180 mg,Fexofenadine Hydrochloride,Somatec Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
7404,Fexofen,30 mg/5 ml,Fexofenadine Hydrochloride,Somatec Pharmaceuticals Ltd.,50 ml bottle : ৳ 48.18
7405,Fexofen,120 mg,Fexofenadine Hydrochloride,Somatec Pharmaceuticals Ltd.,Unit Price : ৳ 7.00
7406,Fexole,120 mg,Fexofenadine Hydrochloride,Biogen Pharmaceuticals Ltd.,Unit Price : ৳ 7.00
7407,Fexomax,60 mg,Fexofenadine Hydrochloride,Novus Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
7408,Fexomin,60 mg,Fexofenadine Hydrochloride,Ibn Sina Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
7409,Fexomin,30 mg/5 ml,Fexofenadine Hydrochloride,Ibn Sina Pharmaceuticals Ltd.,50 ml bottle : ৳ 48.00
7410,Fexomin,120 mg,Fexofenadine Hydrochloride,Ibn Sina Pharmaceuticals Ltd.,Unit Price : ৳ 7.00
7411,Fexomin,180 mg,Fexofenadine Hydrochloride,Ibn Sina Pharmaceuticals Ltd.,Unit Price : ৳ 9.00
7412,Fexon,120 mg,Fexofenadine Hydrochloride,Astra Biopharmaceuticals Ltd.,Unit Price : ৳ 6.50
7413,Fexon,180 mg,Fexofenadine Hydrochloride,Astra Biopharmaceuticals Ltd.,Unit Price : ৳ 8.00
7414,Fexona,120 mg,Fexofenadine Hydrochloride,Globe Pharmaceuticals Ltd.,Unit Price : ৳ 6.50
7415,Fexona,30 mg/5 ml,Fexofenadine Hydrochloride,Globe Pharmaceuticals Ltd.,50 ml bottle : ৳ 48.00
7416,Fexona,180 mg,Fexofenadine Hydrochloride,Globe Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
7417,Fexonaaf,30 mg/5 ml,Fexofenadine Hydrochloride,Naafco Pharma Ltd.,50 ml bottle : ৳ 48.00
7418,Fexonaaf,120 mg,Fexofenadine Hydrochloride,Naafco Pharma Ltd.,Unit Price : ৳ 7.00
7419,Fexoral,30 mg/5 ml,Fexofenadine Hydrochloride,Popular Pharmaceuticals Ltd.,50 ml bottle : ৳ 48.00
7420,Fexoral,120 mg,Fexofenadine Hydrochloride,Popular Pharmaceuticals Ltd.,Unit Price : ৳ 9.00
7421,Fexoral,180 mg,Fexofenadine Hydrochloride,Popular Pharmaceuticals Ltd.,Unit Price : ৳ 10.00
7422,Fexotab,180 mg,Fexofenadine Hydrochloride,Veritas Pharmaceuticals Ltd.,Unit Price : ৳ 9.03
7423,Fexotab,120 mg,Fexofenadine Hydrochloride,Veritas Pharmaceuticals Ltd.,Unit Price : ৳ 7.02
7424,Fexozen,120 mg,Fexofenadine Hydrochloride,Zenith Pharmaceuticals Ltd.,Unit Price : ৳ 7.00
7425,Fexozen,60 mg,Fexofenadine Hydrochloride,Zenith Pharmaceuticals Ltd.,Unit Price : ৳ 3.50
7426,Fexsil,120 mg,Fexofenadine Hydrochloride,Silco Pharmaceutical Ltd.,Unit Price : ৳ 7.00
7427,Fexsil,30 mg/5 ml,Fexofenadine Hydrochloride,Silco Pharmaceutical Ltd.,50 ml bottle : ৳ 48.00
7428,Fexsil,180 mg,Fexofenadine Hydrochloride,Silco Pharmaceutical Ltd.,Unit Price : ৳ 9.00
7429,Fexsil,0.5 mg+10 mg,Flupentixol + Melitracen,Silco Pharmaceutical Ltd.,Unit Price : ৳ 5.00
7430,Fexten,60 mg,Fexofenadine Hydrochloride,NIPRO JMI Pharma Ltd.,Unit Price : ৳ 5.00
7431,Fexten,120 mg,Fexofenadine Hydrochloride,NIPRO JMI Pharma Ltd.,Unit Price : ৳ 7.00
7432,Fexten,30 mg/5 ml,Fexofenadine Hydrochloride,NIPRO JMI Pharma Ltd.,50 ml bottle : ৳ 48.14
7433,Fextive,120 mg,Fexofenadine Hydrochloride,The White Horse Pharma,Unit Price : ৳ 7.00
7434,Fezifol-TR,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,United Pharmaceuticals Ltd.,Unit Price : ৳ 2.52
7435,Fezin-CI,50 mg+0.50 mg+61.80 mg,Carbonyl Iron + Folic Acid + Zinc Sulfate,Rephco Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
7436,Feziplex,,Iron Polymaltose Complex + Vitamin B Complex + Zinc,ACME Laboratories Ltd.,100 ml bottle : ৳ 50.35
7437,Fezol,2.5 mg,Letrozole,ACME Laboratories Ltd.,Unit Price : ৳ 40.00
7438,Fezovit,,Iron Polymaltose Complex + Vitamin B Complex + Zinc,Doctor’s Chemical Works Ltd.,100 ml bottle : ৳ 50.00
7439,Fiberlax,3.5 gm/5.4 gm,Ispaghula Husk,Incepta Pharmaceuticals Ltd.,130 gm container : ৳ 400.00
7440,Fiberlax Ultra,(3.5 gm+135 mg)/sachet,Ispaghula Husk + Mebeverine Hydrochloride,Incepta Pharmaceuticals Ltd.,3.5 gm sachet : ৳ 20.00
7441,Fibi,500 mg,Paracetamol,MST Pharma,Unit Price : ৳ 0.80
7442,Fibi Plus,500 mg+65 mg,Paracetamol + Caffeine,Syntho Laboratories Ltd.,Unit Price : ৳ 2.00
7443,Fibi Plus,500 mg+65 mg,Paracetamol + Caffeine,MST Pharma,Unit Price : ৳ 2.00
7444,Fibogel,3.5 gm/5.4 gm,Ispaghula Husk,Radiant Pharmaceuticals Ltd.,120 gm container : ৳ 395.00
7445,Fibogel-TF,3.5 gm/5.4 gm,Ispaghula Husk,Radiant Pharmaceuticals Ltd.,120 gm container : ৳ 395.00
7446,Fibolac,10 gm/sachet,Lactitol Monohydrate,Radiant Pharmaceuticals Ltd.,10 gm sachet : ৳ 40.00
7447,Fibre,200 mg,Fenofibrate,The White Horse Pharma,Unit Price : ৳ 7.00
7448,Fibrino,500 mg/5 ml,Tranexamic Acid,Eskayef Pharmaceuticals Ltd.,5 ml ampoule : ৳ 50.00
7449,Fibrino,500 mg,Tranexamic Acid,Eskayef Pharmaceuticals Ltd.,Unit Price : ৳ 15.00
7450,Fibropress,5 mg,Ulipristal Acetate [For uterine fibroids],Nuvista Pharma Ltd.,Unit Price : ৳ 55.00
7451,Fibrostat,500 mg,Tranexamic Acid,Globe Pharmaceuticals Ltd.,Unit Price : ৳ 20.00
7452,Fibrostat,500 mg/5 ml,Tranexamic Acid,Globe Pharmaceuticals Ltd.,5 ml ampoule : ৳ 45.00
7453,Fibroz,100 mg,Nintedanib,Beacon Pharmaceuticals Ltd.,Unit Price : ৳ 235.00
7454,Fibroz,150 mg,Nintedanib,Beacon Pharmaceuticals Ltd.,Unit Price : ৳ 350.00
7455,Ficef,500 mg,Cefadroxil Monohydrate,UniMed UniHealth,Unit Price : ৳ 15.00
7456,Ficef,125 mg/5 ml,Cefadroxil Monohydrate,UniMed UniHealth,100 ml bottle : ৳ 90.00
7457,Ficlox,500 mg/vial,Cloxacillin Sodium,Sanofi Bangladesh Ltd.,500 mg vial : ৳ 25.39
7458,Ficlox,125 mg/5 ml,Cloxacillin Sodium,Sanofi Bangladesh Ltd.,100 ml bottle : ৳ 44.97
7459,Ficlox,500 mg,Cloxacillin Sodium,Sanofi Bangladesh Ltd.,Unit Price : ৳ 5.98
7460,Fightex,250 mg,Cefuroxime Axetil,Guardian Healthcare Ltd.,Unit Price : ৳ 25.00
7461,Fightex,500 mg,Cefuroxime Axetil,Guardian Healthcare Ltd.,Unit Price : ৳ 45.00
7462,Filastin,300 mcg/0.5 ml,Filgrastim,Incepta Pharmaceuticals Ltd.,"0.5 ml pre-filled syringe : ৳ 2,890.00"
7463,Filazine,100 mg,Diethylcarbamazine Citrate,Hudson Pharmaceuticals Ltd.,Unit Price : ৳ 1.30
7464,Filfresh,3 mg,Melatonin,Square Pharmaceuticals Ltd.,Unit Price : ৳ 3.01
7465,Filgen,300 mcg/0.5 ml,Filgrastim,Aristopharma Ltd.,"0.5 ml pre-filled syringe : ৳ 3,500.00"
7466,Filgrast,300 mcg/0.5 ml,Filgrastim,Beacon Pharmaceuticals Ltd.,"0.5 ml pre-filled syringe : ৳ 2,500.00"
7467,Filin,125 mg/5 ml,Aminophylline,Opsonin Pharma Ltd.,5 ml ampoule : ৳ 5.45
7468,Filin,100 mg,Aminophylline,Opsonin Pharma Ltd.,Unit Price : ৳ 0.39
7469,Filmet,200 mg,Metronidazole,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 0.68
7470,Filmet,200 mg/5 ml,Metronidazole,Beximco Pharmaceuticals Ltd.,60 ml bottle : ৳ 30.00
7471,Filmet,500 mg/100 ml,Metronidazole,Beximco Pharmaceuticals Ltd.,100 ml bottle : ৳ 54.00
7472,Filmet,400 mg,Metronidazole,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 1.52
7473,Filmet DS,800 mg,Metronidazole,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 2.01
7474,Filodox,400 mg,Doxophylline,Navana Pharmaceuticals Ltd.,Unit Price : ৳ 6.00
7475,Filodox,100 mg/5 ml,Doxophylline,Navana Pharmaceuticals Ltd.,100 ml bottle : ৳ 100.00
7476,Filodox,200 mg,Doxophylline,Navana Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
7477,Filodox SR,400 mg,Doxophylline,Navana Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
7478,Filtear,0.4%+0.3%,Polyethylene Glycol + Propylene Glycol,Incepta Pharmaceuticals Ltd.,10 ml drop : ৳ 210.00
7479,Filwel Gold,,Multivitamin & Multimineral [A-Z gold preparation],Square Pharmaceuticals Ltd.,Unit Price : ৳ 9.50
7480,Filwel Kids,,Multivitamin & Cod Liver Oil,Square Pharmaceuticals Ltd.,100 ml bottle : ৳ 80.55
7481,Filwel Silver,,Multivitamin & Multimineral [A-Z silver preparation],Square Pharmaceuticals Ltd.,Unit Price : ৳ 9.50
7482,Filwel Teen Hm,,Multivitamin & Multimineral [A-Z teen boys preparation],Square Pharmaceuticals Ltd.,Unit Price : ৳ 6.00
7483,Filwel Teen Hr,,Multivitamin & Multimineral [A-Z teen girls preparation],Square Pharmaceuticals Ltd.,Unit Price : ৳ 6.00
